eid,pid,target_prefix,bin_start,bin_end,bin_size,step_size,bin_idx,time,n_trials,n_units,n_pos,n_neg,overlap_topk,cosine2_top1,expected_random_overlap,expected_random_cosine2,k_eff,n_eff,null_pval,status,error
dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,1111.0,40.0,251.0,234.0,0.6819768351238069,0.579101624550943,0.075,0.025,3.0,40.0,0.0001999600079984003,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.04,0.09,0.05,0.01,0.0,0.065,912.0,32.0,172.0,229.0,0.18613574448102274,0.011076808944461837,0.09375,0.03125,3.0,32.0,0.5396920615876825,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,912.0,32.0,172.0,229.0,0.041023243379755554,1.86091655833572e-05,0.09375,0.03125,3.0,32.0,0.9802039592081584,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,912.0,32.0,172.0,229.0,0.050654580745248284,0.009839273037787878,0.09375,0.03125,3.0,32.0,0.5696860627874425,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.07,0.12000000000000001,0.05,0.01,3.0,0.095,912.0,32.0,172.0,229.0,0.13424335102679297,0.020149750820670706,0.09375,0.03125,3.0,32.0,0.4237152569486103,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.08000000000000002,0.13,0.05,0.01,4.0,0.10500000000000001,912.0,32.0,172.0,229.0,0.1227155939608864,0.022240343060346338,0.09375,0.03125,3.0,32.0,0.39392121575684863,,
09394481-8dd2-4d5c-9327-f2753ede92d7,da57bb3a-b0f2-465d-a5fc-cc84341450b0,VISp,0.09000000000000001,0.14,0.05,0.01,5.0,0.11500000000000002,912.0,32.0,172.0,229.0,0.14452724432694633,0.08407588128102554,0.09375,0.03125,3.0,32.0,0.10457908418316336,,
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,0.04,0.09,0.05,0.01,0.0,0.065,728.0,142.0,152.0,159.0,0.13172007268563518,0.05536954334652041,0.02112676056338028,0.007042253521126761,3.0,142.0,0.13977204559088183,,
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,0.05,0.1,0.05,0.01,1.0,0.07500000000000001,728.0,142.0,152.0,159.0,0.2441316465712376,0.09062402940282345,0.02112676056338028,0.007042253521126761,3.0,142.0,0.033393321335732855,,
58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp,0.060000000000000005,0.11000000000000001,0.05,0.01,2.0,0.085,728.0,142.0,152.0,159.0,0.1129826799872965,0.08382516539543333,0.02112676056338028,0.007042253521126761,3.0,142.0,0.02659468106378724,,
